epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.134,1.32062,2.11493,1.21503,0.57315,0.28764,0.37184,0.21684,1.2199,2.58664,1.26774,0.000654971,0.000654971,0.000654971
2,784.919,1.248,1.55719,1.15966,0.45604,0.30387,0.29451,0.1615,1.52449,2.64964,1.52958,0.00129547,0.00129547,0.00129547
3,1174.46,1.22059,1.44863,1.16734,0.47322,0.47072,0.42782,0.25562,1.31248,2.14354,1.36841,0.00190957,0.00190957,0.00190957
4,1565.92,1.21031,1.36505,1.15577,0.33317,0.38151,0.24463,0.13448,1.5788,2.54073,1.53695,0.0018812,0.0018812,0.0018812
5,1971.9,1.16313,1.22256,1.12414,0.47633,0.54879,0.47661,0.2635,1.4536,5.87718,1.41441,0.0018416,0.0018416,0.0018416
6,2378.6,1.15048,1.18473,1.13055,0.58467,0.64916,0.61878,0.39322,1.23921,1.78744,1.2546,0.001802,0.001802,0.001802
7,2779.51,1.1528,1.13169,1.11374,0.6031,0.67844,0.62317,0.39303,1.27843,1.66016,1.27123,0.0017624,0.0017624,0.0017624
8,3177.97,1.11276,1.05773,1.10535,0.55453,0.6724,0.55566,0.34637,1.23619,1.80007,1.26535,0.0017228,0.0017228,0.0017228
9,3561.76,1.08237,1.00847,1.08541,0.62769,0.6473,0.6235,0.39398,1.24244,1.40644,1.2526,0.0016832,0.0016832,0.0016832
10,3954.78,1.02597,0.978,1.0594,0.66937,0.69238,0.70909,0.48136,1.08499,1.36157,1.1643,0.0016436,0.0016436,0.0016436
11,4395.5,0.99921,0.95456,1.04344,0.66382,0.75743,0.74385,0.51069,1.07723,1.23642,1.14562,0.001604,0.001604,0.001604
12,4834.17,1.02468,0.91655,1.05364,0.6808,0.67426,0.70789,0.47579,1.08679,1.20109,1.17318,0.0015644,0.0015644,0.0015644
13,5225.77,0.99795,0.89402,1.04486,0.70518,0.71236,0.74267,0.51556,1.04899,1.26811,1.13248,0.0015248,0.0015248,0.0015248
14,5537.75,0.95454,0.85115,1.02115,0.66029,0.73612,0.70199,0.4866,1.08736,1.38136,1.18054,0.0014852,0.0014852,0.0014852
15,5841.75,0.93362,0.82179,1.01894,0.71249,0.72816,0.75987,0.50818,1.13353,1.11342,1.12841,0.0014456,0.0014456,0.0014456
16,6287.82,0.96298,0.83671,1.01889,0.69556,0.7453,0.72931,0.50616,1.06313,1.45258,1.13714,0.001406,0.001406,0.001406
17,6708.01,0.89686,0.78574,1.00265,0.7201,0.77277,0.77541,0.5514,1.03084,1.03578,1.13363,0.0013664,0.0013664,0.0013664
18,7128.08,0.89563,0.76657,1.00163,0.65319,0.7277,0.69449,0.47857,1.05762,1.34511,1.14873,0.0013268,0.0013268,0.0013268
19,7504.93,0.89517,0.77827,1.00246,0.7309,0.74164,0.7673,0.54787,1.05319,1.05314,1.13195,0.0012872,0.0012872,0.0012872
20,7813.94,0.88241,0.74125,0.99126,0.73931,0.71097,0.77097,0.55161,1.04559,1.07957,1.14635,0.0012476,0.0012476,0.0012476
21,8093.25,0.86122,0.71965,0.98758,0.72502,0.71186,0.7691,0.54301,1.03865,1.11132,1.11618,0.001208,0.001208,0.001208
22,8372.37,0.85191,0.72084,0.98241,0.73745,0.77529,0.7879,0.56925,1.01629,1.07674,1.10053,0.0011684,0.0011684,0.0011684
